 HYMN TITLE,Text,LSB#,TLH#,LW#,LBW#,ELH#,CW#,WOV#,HS'98#
Praise the Lord O Heavens Adore Him,,,,,540,64,,,
Praise the Lord of Heaven,,,,,541,,,,
Praise the Lord Rise Up Rejoicing,,,,,196,,,,
Praise the Lord Ye Heavens Adore Him,,,,,540,64,,,
Praise the One Who Breaks the Darkness,Luke 4:16-21,849,,,,,353,,881
Praise the Savior Now and Ever,,,,,155,,,,
Praise to God Immortal Praise,"Hab 3:17, 18",,572,496,,,612,,
Praise to the Father for His Lovingkindness,,,,,517,,,,
Praise to the Father the Glorious King of Creation,,,,,,7,,,
"Praise to the Lord, the Almighty",1 Chron 16:23-26,790,39,444,543,65,234,,
Praise to Thee and Adoration,Ps 106:1,692,401,387,470,596,470,,
Praise to You and Adoration,2 Thess 2:15-17,692,401,387,470,596,470,,
Praise We the Lord This Day,Matt 1:23,,274,,,,,,
"Praise, My Soul, the King of Heaven",Ps 103,793,,,549,67,,,893
Prasie and Thanksgiving Be to God Our Maker,,,,,191,,,,
Prayer Is the Soul's Sincere Desire,Luke 11:1,,454,,,387,,,
Preach You the Word,Luke 8:4-15,586,,259,,,544,,
"Precious Lord, Take My Hand",Is 42:6,739,,337,,,451,731,
Prepare the Royal Highway,Is 40:3-5,343,,27,26,,,,
Prepare the Way,"Luke 3:4, 5",,,,,,,,807
Preserve Thy Word O Savior,"Jude 20, 21",658,264,337,,533,289,,
"Preserve Your Word, O Savior",1 Peter 1:5-7,658,264,337,,533,289,,
"Redeemed, Restored, Forgiven",Luke 15:24,,32,,,,388,,
Rejoice Angelic Choirs Rejoice,,,,,146,,,,
Rejoice Rejoice Ye Christians,,,,,,132,,,
Rejoice the Lord is King,Rev 19:6,,,179,171,376,,,
"Rejoice, My Heart, Be Glad and Sing",Ps 28:7,737,535,424,,,443,,
"Rejoice, O Pilgrim Throng",Ps 20:5; 118:15-26,813,,455,553,,540,,
"Rejoice, Rejoice This Happy Morn","Luke 2:10-14, 20",391,79,520,43,142,,,
"Rejoice, Rejoice, Believers",Matt 25:1-6,515,72,,25,543,7,,801
"Renew Me, O Eternal Light",2 Cor 3:18,704,398,373,511,,471,,
Return O Wanderer Return,Luke 15:18,,280,,,,,,
Ride On Ride On in Majesty,Matt 21:9,"441, 967",,105,121,,132,,
"Ride On, Ride On in Majesty",John 12:12-16,"441, 967",162,,,280,133,,
Rise Again Ye Lion-Hearted,Rev 2:10,,470,,,555,,,
Rise Arise,,,,,,,30,,
Rise Children of the Kingdom,,,,,,105,,,
"Rise Crowned with Light Imperial Salem, Rise",Is 60:1ff,,503,313,,,,,
Rise O Children of Salvation,,,,,182,,,,
Rise O Light of Gentile Nations,Is 60:1,,498,,,199,577,,
Rise Thou Light of Gentile Nations,Is 60:1,,498,,,199,577,,
Rise Up O Saints of God,,,,,383,,,,
Rise Ye Children of Salvation,Jude 3,,472,,,217,,,
Rise! To Arms! With Prayer Employ You,Eph 6:10-18,668,444,303,,518,455,,
"Rise, My Soul, to Watch and Pray","Matt 25:5, 13; 26:41",663,446,302,443,253,472,,
"Rise, Shine, You People",Eph 5:14,825,,,393,,556,,871
"Rock of Ages, Cleft for Me ",1 Cor 10:4,761,376,361,327,286,389,,
Round Me Falls the Night,Ps 141:2,,562,,,,,,
Round the Lord in Glory Seated,,,,,,408,,,
Safely Through Another Week,Ps 65:4,,11,,,,,,
Saints Behold the Sight is Glorious,Phil 2:9-11,495,222,,156,,216,,
"Saints of God, the Dawn is Brightening",John 4:35,,502,,,,578,,
"Saints, See the Cloud of Witnesses",Heb 11:1—12:3,667,,,,,,,840
Salvation Unto Us Has Come,Rom 3:10-31,555,377,355,297,227,390,,
Sanctus,Is 6:3,961,,,,,,,
Savior Again to Thy Dear Name We Raise,Num 6:22-26,917,47,221,262,597,321,,
Savior Again to Your Dear Name We Raise,Ps 110:2,917,47,221,262,597,321,,
Savior Breathe an Evening Blessing,Ps 91:5,,565,,,,,,
Savior I Follow On,Ex 15:23,,422,,,,473,,
"Savior of the Nations, Come","John 1:1, 14",332,95,13,28,,2,,
Savior Sprinkle Many Nations,Is 54:2,,510,,,,,,
Savior Thy Dying Love,Acts 9:6,,403,374,,,488,,
Savior When in Dust to Thee,Luke 18:13,419,166,93,91,296,124,,
Savior When in Dust to You,Luke 18:13,419,166,93,91,296,124,,
Savior Who Thy Flock art Feeding,John 10:11,,631,,,,,,
"Savior, Like a Shepherd Lead Us",Ps 23,711,,,481,,,,
"Scatter the Darkness, Break the Gloom",Matt 28:5-6,481,,,,,,,
See Amid the Winter's Snow,Luke 2:1-20,373,,,,,58,,808
See in Yonder Manger Low,Luke 2:1-20,373,,,,,58,,808
See the Conqueror Mounts in Triumph,Ps 68:18,494,218,,,,174,,
See This Wonder in the Making,Matt 3:16-17,593,,,,,300,,842
"See, the Lord Ascends in Triumph",Mark 16:19,494,218,,,,174,,
Seek the Lord,Is 55:6-12,983,,,,,,,
Seek Where Ye May to Find a Way,Acts 4:12,557,383,358,,207,395,,
Seek Where You May to Find a Way,John 6:68-69,557,383,358,,207,395,,
Seek Ye First,Matt 6:33; 7:7,712,,,,,,783,
Send Now O Lord to Every Place,Rom 8:37,,506,316,,,572,,
Send O Lord Thy Holy Spirit,Acts 11:24,681,491,263,,507,545,,
Send Thou O Lord to Every Place,Rom 8:37,,506,316,,,572,,
"Send, O Lord, Your Holy Spirit",John 20:21-23,681,491,263,,507,545,,
Sent Forth By God's Blessing,Luke 8:39,643,,247,221,,318,,
Shepherd of Tender Youth,Is 40:11,864,628,471,,183,515,,
"Silent Night, Holy Night",Luke 2:7-16,363,646,68,65,140,60,,
"Since Our Great High Priest, Christ Jesus",Heb 1:3; 4:14; 9:24,529,,,,,,,
Sing a New Song to the Lord,,,,,,,245,,
Sing My Tongue How Glorious Battle,Ps 98:1-2,454,,117,118,298,122,,
"Sing Praise to God, the Highest Good",Deut 32:3,819,19,452,542,,,,
Sing Praise to the God of Israel,Luke 1:68-79,936,,,,46,,,908
Sing to the Lord of Harvest,Ps 65:9-13,893,,493,412,464,614,,
Sing with All the Saints in Glory,Rev 7:9-17,671,,,,,,691,839
"Sing, My Tongue, the Glorious Battle",Ps 98:1-2,454,,117,118,298,122,,
So Rest My Rest,,,,,,338,,,
So Truly As I Live God Saith,,,,,,417,,,
Soldiers of Christ Arise,Eph 6:10-18,,450,,,,,,
Soldiers of the Cross Arise,Eph 6:17,,501,,,520,,,
"Son of God, Eternal Savior",1 Pet 1:20-23,842,,394,364,,492,,
Song from Deuteronomy,"Deut 32:1-4, 8-12, 36a, 39, 43",926,,,,,,,
Song of Habakkuk,"Hab 3:1-6, 13, 18-19",986,,,,,,,
Song of Hannah,1 Sam 2:1-10,928,,,,,,,
Song of Jonah,John 2:2-9,985,,,,,,,
Song of Moses and Israel,"Ex 15:1-6, 11-13, 17-18",925,,,19,,,,
Songs of Praise the Angels Sang,Job 38:7,,35,447,,,222,,
Songs of Thankfulness and Praise,Is 61:1-3,394,134,88,90,172,82,,
Soul Adorn Thyself with Gladness,Rev 19:8,636,305,239,224,328,311,,
Soul What Return Has God Thy Savior,Mark 12:17,,404,,,,,,
"Soul, Adorn Yourself with Gladness",Is 61:10,636,305,239,224,328,311,,
Speak O Lord Thy Servant Heareth,1 Sam 3:10,589,296,339,,230,283,,
Speak O Savior I am Listening,1 Sam 3:10,589,296,339,,230,283,,
"Speak, O Lord, Your Servant Listens",1 Sam 3:10,589,296,339,,230,283,,
Spirit of God Descend Upon My Heart,,,,,486,,,,
Spirit of God Sent from Heaven Abroad,,,,,285,,,,
Spirit of God Unleashed On Earth,,,,,387,,,,
Splendor and Honor,Rev 4:11,950,,,,,,,910
Spread Oh Spread Almighty Word,Rom 10:15,830,507,321,379,201,576,,
Spread Oh Spread the Mighty Word,Rom 10:15,830,507,321,379,201,576,,
Spread Oh Spread Thou Mighty Word,Rom 10:15,830,507,321,379,201,576,,
Spread the Reign of God the Lord,Rom 10:15,830,507,321,379,201,576,,
"Stand Up, Stand Up for Jesus",Luke 9:23-26,660,451,305,389,,474,,
"Stars of the Morning, So Gloriously Bright",Ps 103-20-21,520,255,190,,548,,,
Stay with Us,Luke 24:13-35,878,,,,,,743,
Strengthen for Service Lord the Hands,,,,,218,,,,
"Stricken, Smitten, and Afflicted",Is 53:3-6,451,153,116,,297,127,,
Sun of My Soul O Savior Dear,Luke 24:29,,551,488,,577,,,
Sun of My Soul Thou Savior Dear,Luke 24:29,,551,488,,577,,,
Surely It Is God Who Saves Me,Is 12:2-6,,,,,,,,870
Sweet Flowerets of the Martyr Band,Matt 2:13-16,969,273,188,,,,,
Sweet Is the Work My God My King,,,,,,469,,,
Sweet the Moments Rich in Blessing,1 John 1:7,,155,,,300,111,,
Swell the Anthem Raise the Song,Deut 8:10-12,,584,,,,,,
Swiftly Pass the Clouds of Glory,Matt 17:2-9,416,,,,,,,
Take My Life and Let It Be,Eph 6:24,783-784,400,404,406,444,469,,
Take My Life O Lord Renew,Eph 6:24,783-784,400,404,406,444,469,,
Take My Life That I May Be,Eph 6:24,783-784,400,404,406,444,469,,
Take the World but Give Me Jesus,,,,,,,355,,
Take Up Your Cross the Savior Said,Matt 16:24,,,382,398,,,,
"Tell Out, My Soul, the Greatness of the Lord",Luke 1:46-55,935,,,,,,,909
Ten Thousand Times Ten Thousand,Rev 7:17,,476,,,557,,,
Tender Shepherd Thou has Stilled,Matt 18:2,,595,269,,,,,
"Thanks to Thee, O Christ, Victorious",1 Cor 15:51-57,548,207,,,,147,,
That Day of Wrath That Dreadful Day,2 Pet 3:10,,612,,,,,,
That Easter Day with Joy Was Bright,Matt 28:1-7,,,147,154,,,,
That Man a Godly Life Might Live,Ex 20:1-17,581,287,331,,490,285,,
The Advent of Our God,Luke 19:28-40,331,68,12,22,99,1,,
The Advent of Our King,Luke 19:28-40,331,68,12,22,99,1,,
The Ancient Law Departs,Luke 2:21,898,117,,,158,,,
The Angel Gabriel from Heaven Came,Luke 1:26-38,356,,,,,24,632,805
The Bells of Christmas Chime Once More,,,,,62,,,,
The Bridegroom Soon Will Call Us,Matt 25:1-13,514,67,176,,100,10,,
The Church of Christ in Every Age,,,,,433,,,,
The Church's One Foundation,Eph 2:20; 4:4-6,644,473,289,369,486,538,,
The Clouds of Judgment Gather,1 Peter 1:3-9,513,605,463,322,534,,,
The Day Full of Grace,,,,,,,254,,
The Day Is Past and Over,Ps 13:3,,555,,,,,,
The Day is Surely Drawing Near,Luke 21:25-36,508,611,462,321,538,207,,
The Day of Resurrection,"Ex 12:22, 26-27",478,205,133,141,356,166,,
The Day Thou Gavest,Ps 113:2-4,886,,,274,,594,,904
The Day You Gave Us Lord has Ended,,886,,,274,,594,,
The Day You Gave Us Lord is Ended,Rom 13:11-12,886,,,274,,594,,904
"The Death of Jesus Christ, Our Lord",Matt 26:26-29,634,163,107,,329,135,,
The First Day of the Week,,,,,246,,,,
The First Noel the Angel Did Say,,,,,56,,,,
The Gifts Christ Freely Gives,Eph 1:3-7,602,,,,,,,
The God of Abraham Praise,Ex 3:6,798,40,450,544,69,,,
The Gospel Shows the Father's Grace,Rom 1:16-17,580,297,330,,233,288,,
The Happy Christmas Comes Once More,,,,,,143,,,
The Head that Once was Crowned with Thorns,Heb 2:10,532,219,,173,393,217,,
The Hills are Bare at Bethlehem,,,,,61,,,,
The Infant Priest Was Holy Born,Heb 9:11-28,624,,,,,,,853
The King of Glory Comes,,,,,,,363,,
The King of Love My Shepherd Is,Ps 23,709,431,412,456,370,375,,
The King Shall Come When Morning Dawns,Matt 25:31,348,,26,33,101,25,,
The Kingdom Satan Founded,,,,,,259,,,
The Lamb,Rev 5:12-13,547,,,,,,,822
The Law Commands and Makes Us Know,Ps 19:9,,289,,,489,286,,
The Law of God Is Good and Wise,Ps 19:7-8,579,295,329,,492,287,,
The Litany,,,661,,,,,,
The Lord Hath Helped Me Hitherto,1 Sam 7:12,,33,456,,71,,,
The Lord Into His Father's Hands,,,,,,339,,,
The Lord is God There Is No Other,,,,,,,292,,
The Lord is My Light,Ps 27,723,,,,,,,
The Lord My Faithful Shepherd Is,,,,,,368,,,
The Lord My Pasture Shall Prepare,Ps 23,,368,,,,,,
The Lord My Shepherd Is,Ps 23,,426,,,,,,
The Lord Will Come and Not be Slow,,,,,318,,,,
"The Lord, My God, Be Praised",Deut 32:3,794,38,174,,404,,,
The Lord's My Shepherd I'll Not Want,Ps 23,710,436,416,451,371,360,,
The Lord's My Shepherd Leading Me,Ps 23,,,417,,,,,
The Man is Ever Blessed,Ps 1,705,414,388,,,475,,
The Man Is Ever Blest,Ps 1,705,414,388,,,475,,
The Morning Light is Breaking,"Matt 28:19, 20",,497,,,,,,
The Morning Sun is Brightly Beaming,1 John 1:7,,545,,,,,,
The Mystery Hidden from the Eyes,,,,,,405,,,
The New Church Year Again Is Come,,,,,,93,,,
The Night Will Soon Be Ending,Rom 13:12a,337,,,,,,,806
The Old Year Now Has Passed Away,John 15:4,,125,,,,71,,
The Old Year Now Hath Passed Away,John 15:4,,125,,,,71,,
The Only Son from Heaven,Gal 4:4-5,402,,72,86,224,86,,
The People That in Darkness Sat,"Is 9:2, 6-7",412,106,77,,153,90,,
The Power of Sin No Longer,,,,,,243,,,
The Radiant Sun Shines in the Skies,Ps 91: 9-16,,547,,,78,,,
The Royal Banners Forward Go,"Is 11:10, 12",455,168,103,124,273,,,
The Royal Banners Forward Go,"Is 11:10, 12",455,168,104,125,273,,,
the Saints in Christ Are One in Every Place,Phil 1:1-21,838,,,,,,,
The Saints on Earth and Those Above,Heb 12:22-24,,478,,,,,,
The Savior Calls Let Every Ear,Matt 11:28,,281,350,,,,,
The Savior Kindly Calls,Mark 10:14,,302,228,,,296,,
The Son of God Goes Forth to War,Rev 19:11-16,661,452,304,183,559,,,
The Son of God Our Christ the Word the Way,,,,,434,,525,,
The Star Proclaims the King is Here,Matt 2:1-12,399,131,81,,173,91,,
The Stars Declare His Glory,,,,,,,246,,
"The Strife is O'er, the Battle Done",1 Cor 15:55-57,464,210,143,135,357,148,,
The Sun Arises Now,Ps 145:15,,542,,,83,,,
The Sun Has Gone Down,,,,,,575,,,
The Sun's Last Beam of Light is Gone,"Ps 91:11, 12",,562,,,562,,,
The Temple Rang with Golden Coins,Mark 12:41-44,787,,,,,,,885
The Ten Commandments Are the Law,Ex 20:1-17,581,287,331,,490,285,,
The Tree of Life,Gen 3:1-15,561,,,,302,,,873
The Voice that Breathed o'er Eden,Eccl 4:12,,622,,,,,,
The Will of God Is Always Best,Matt 6:10,758,517,425,,477,435,,
The World Is Very Evil,Rev 21:24,513,605,463,322,534,,,
Thee God We Praise Thy Name We Bless,,,,,,44,,,
Thee We Adore Eternal Lord,,,,,547,,,,
"Thee We Adore, O Hidden Savior",Matt 26:26-28,640,,,199,,,,849
"Thee Will I Love, My Strength, My Tower",John 14:23,694,399,375,502,409,476,,
Then the Glory,,,,,,,218,,
There Is a Balm in Gilead,Jer 8:18—9:2,749,,,,,564,737,889
There is a Fountain Filled with Blood,Zech 13:1,,157,506,,301,112,,
There is a Green Hill Far Away,,,,,114,,,,
There is a Redeemer,John 3:16,971,,,,,,,
There is a Save and Secret Place,,,,,,218,,,
There is a Time for Everything,Eccl 3:1-8,762,,,,,,,
There Is an Hour of Peaceful Rest,Heb 4:9,,617,,,,,,
There Many Shall Come from the East,"Matt 8:11, 12",510,415,464,313,200,,,
There Stands a Fountain Where for Sin,Zech 13:1,,157,506,,301,112,,
There Still Is Room,"Luke 14:22, 23",,509,,,,565,,
There's a Voice in the Wilderness Crying,,,,,,,13,,
There's a Wideness in God's Mercy,,,,,290,,,,
These Are the Holy Ten Commands,Ex 20:1-17,581,,,,490,,,
These Things Did Thomas Count as Real,John 20:19-31,472,,,,,,,831
They Cast Their Nets in Galilee,,,,,449,,,,
They Leave Their Place on High,,,,,,,197,,
"Thine Forever, God of Love ",Mal 3:17,687,338,256,,515,426,,
"Thine Honor Save, O Christ, Our Lord",Ps 118:25,,265,,,221,,,
Thine is the Glory,,,,,145,73,,,
"Thine the Amen, Thine the Praise",Matt 26:26-29,680,,,,,,801,867
This Body in the Grave We Lay,John 5:24,759,596,,,,,,
This Child We Dedicate to Thee,Luke 18:17,,303,227,,,,,
This ChildWe Now Present to You,Luke 18:17,,303,227,,,,,
This Day at Thy Creating Word,Gen 1:5,,12,,,31,229,,
This Day at Your Creating Word,Gen 1:5,,12,,,31,229,,
This is My Father's World,,,,,554,,,,
This is My Will,,,,,,,497,,
This Is the Day the Lord Has Made,Ps 118:24-26,903,10,200,,32,225,,
This Is the Day the Lord Hath Made,Ps 118:24-26,903,10,200,,32,225,,
This is the Feast of Victory,,,,,,359,265,,
This is the Spirit's Entry Now,Eph 5:25b-27,591,,,195,,,,841
This is the Threefold Truth,1 Cor 11:23-26,,,,,,406,,863
This Joyful Eastertide,1 Cor 15:17-20,482,,140,149,,160,676,
This Little Babe So Few Days Old,,,,,,162,,,
This Night a Wondrous Revelation,"Luke 1:78, 79",,88,,,,,,
Thou Art the Way to Thee Alone,John 14:6,526,355,283,464,363,356,,
Thou Light of Gentile Nations`,Luke 2:32,,138,,,151,78,,
Thou to Whom the Sick and Dying,,,,,,237,,,
Thou Who Roll'st the Year Around,Ps 90:12,,111,,,,,,
Thou Who the Night in Prayer Didst Spend,Luke 6:12ff,,493,,,505,548,,
Thou Whose Almighty Word,Gen 1:3,979,508,317,400,202,,,
Thou Whose Almighty Word,John 1:1-4,979,508,317,400,202,,,
Though I May Speak With Bravest Fire,1 Cor 13,,,,,,498,,
Though In Midst of Life We Be,,,,,,527,,,
Though Thoughtless Thousands Choose,Phil 1:21,,608,,,,466,,
Throned upon the Awe-full Tree,Mark 15:34,,174,,,,,,
Through All the Changing Scenes of Life,Ps 34,,29,,,,,,
Through Jesus' Blood and Merit,Rom 8:35-39,746,372,369,,414,445,,
Through the Day Thy Love hath Spared Us ,Ps 3:5,,553,,,,,,
Through the Night of Doubt and Sorrow,Eph 4:5,,481,,355,,,,
Thus Far the Lord Has Led Me On,,,,,,566,,,
"Thy Body, Given for Me, O Savior",1 Cor 11:23-29,619,315,242,213,313,,,
Thy Hand O God Has Guided,,,,,,196,,,
Thy Little Ones Dear Lord Are We,,,,,,144,,,
Thy Love O Gracious God and Lord,,,,,,449,,,
Thy Soul O Jesus Hallow Me,,,,,,290,,,
Thy Strong Word,Gen 1:3,578,,328,233,72,280,,
Thy Table I Approach,Mark 14:22-25,628,310,249,,,,,
Thy Way and All Thy Sorrows,,,,,,208,,,
Thy Way Not Mine O Lord,Ps 25:5,,532,,,,,,
Thy Ways O Lord with Wise Design,1 Cor 13:12,,530,,,,,,
Thy Word is a Lamp,Ps 119:105,973-973a,,,,,,,
"Thy Works, Not Mine, O Christ",Titus 3:3-7,565,380,,,,401,,
"'Tis Good, Lord, to Be Here",Luke 9:28-36,414,135,89,89,,95,,
To God Be Glory Peace on Earth,,,,,,21,,,
To God Be the Glory,,,,,,,399,,
To God the Anthem Raising,Ps 101:1,,112,,,,73,,
To God the Holy Spirit Let Us Pray,John 16:13,768,231,155,317,33,190,,
To Jordan Came Our Lord the Christ,Mark 1:9-11,406-407,,223,79,247,88,,
"To Jordan Came the Christ, Our Lord",Mark 1:9-11,406-407,,223,79,247,88,,
To Jordan's River Came Our Lord,Matt 3:13-17,405,,,,,89,,816
To Our Redeemer's Glorious Name,Ps 135:1,,363,,,,,,
To Shepherds as They Watched by Night,"Luke 2:10, 11",,103,52,,154,53,,
To the Name of Our Salvation,Acts 4:12,,116,,,159,,,
To Thee My Heart I Offer,Luke 2:7,,89,,,,43,,
"To Thee, O Lord, Our Hearts We Raise",Ps 65:12,,573,,,,,,
"To Thee, Omniscient Lord of All",Ps 51:1-11,613,318,234,310,,,,
"To Thee, Our God, We Fly","Ex 34:6, 7",,580,,,,620,,
To Thy Temple I Repair,Heb 9:14,981,2,207,,,226,,
To You Before the Close of Day,Ps 91:1-12,889,,489,277,,,,
To You Omniscient Lord of All,Dan 9:18-19,613,,234,310,,,,
To Your Temple I Draw Near,Heb 9:14,981,2,207,,,226,,
"To Your Temple, Lord, I Come",Heb 9:14,981,2,207,,,226,,
Today in Triumph Christ Arose,1 Pet 1:3-5,,,136,,358,164,,
Today Thy Mercy Calls Us,Rev 3:8,915,279,347,304,,339,,
Today Your Mercy Calls Us,Is 1:18,915,279,347,304,,339,,
Triumphant from the Grave,"1 Cor 15:20-26, 55-57",,,144,,360,151,,
Triune God Oh Be Our Stay,Ps 18:18,505,247,170,308,18,192,,
"Triune God, Be Thou Our Stay",Ps 31:1-3,505,247,170,308,18,192,,
True God and Yet a Man,,,,,,269,,,
Twas in the Moon of Wintertime,,,,,72,,,,
Twas on That Dark That Doleful Night,1 Cor 11: 23ff,,164,,127,,136,,
Unto the Hills Around Do I Look Up,,,,,445,,,,
Up Through Endless Ranks of Angels,Mark 16:19,491,,152,159,,172,,
Upon the Cross Extended,Is 53  ,453,171,120,,304,113,,
Upon the Cross Extended,Is 53,453,171,121,,304,113,,
Vain World Now Farewell,,,,,,529,,,
Victim Divine Your Grace We Claim,,,,,202,,,,
Voices Raised to You We Offer,Col 3:16,795,,,,,,,895
Wake the Welcome Day Appeareth,,,,,,95,,,
"Wake, Awake, for Night is Flying",Matt 25:1-13,516,609,177,31,544,206,,
Watchman Tell Us of the Night,Is 21:11,,71,,,,,,
"Water, Blood, and Spirit Crying",1 John 5:5-8,597,,,,,,,
We All Are One in Mission,,,,,,,566,,
We All Believe in One True God,Apostle's Creed; Heb 1:1-8,953,252,212,,37,271,,
We All Believe in One True God,Nicene Creed; Is 43:1-7,954,251,213,374,38,270,,
We All Believe in One True God Father,Apostle's Creed,953,252,212,,37,271,,
We All Believe in One True God Maker,Nicene Creed,954,251,213,374,38,270,,
We Are Called by One Vocation,,,,,,421,,,
We Are Called to Stand Together,Heb 11,828,,,,,,,
We Are the Lord's His All-Sufficient Merit,Rom 14:8,,453,,399,,427,,
We Are Your People,,,,,,,526,,
We Bid Thee Welcome in the Name,"1 Cor 4:1, 2",,484,262,,,547,,
We Bid You Welcome in the Name,"1 Cor 4:1, 2",,484,262,,,547,,
We Bless Thee Jesus Christ Our Lord,,,,,,275,,,
We Christians May Rejoice Today,Luke 2:20,,107,,,122,,,
We Give Thee But Thine Own,1 John 3:16-18,781,441,405,410,445,485,,
We Give You But Our Own,1 John 3:16-18,781,441,405,410,445,485,,
We Have a Sure Prophetic Word,2 Pet 1:19,,290,340,,234,291,,
We Know that Christ is Raised,Rom 6:3-11,603,,,189,,,,846
We Now Implore God the Holy Ghost,John 16:19,768,231,155,317,33,190,,
We Place Upon Your Table Lord,,,,,217,,,,
We Plow the Fields and Scatter,,,,,362,,,,
We Praise O Christ Your Holy Name,John 1:14,382,,35,,,,,
We Praise Thee O God Our Redeemer Creator,Ps 26:12,785,568,494,241,466,609,,
"We Praise You and Acknowledge You, O God",Rev 7:9-17,941,,,,,,,
We Praise You Lord for Jesus Christ,,,,,190,,301,,
"We Praise You, Jesus, at Your Birth",Luke 2:7-14,382,80,35,48,,,,
"We Praise You, O God",Ps 107:31-32,785,568,494,241,466,609,,
We Sing for All the Unsung Saints,Heb 11,678,,,,,,,
We Sing Immanuel Thy Praise,Matt 1:23,,108,,,152,,,
We Sing the Almighty Power of God,Ps 149,,43,441,,,261,,
We Sing the Praise of Him Who Died,Gal 6:14,429,178,118,344,,,,
We Sing Thy Praise O God,,,,,,45,,,
We Thank Thee Jesus Dearest Friend,Eph 4:8,,223,,,394,,,
We Thank You for Your Blessings,,,,,,,615,,
We Walk by Faith and Not By Sight,Heb 12:2  ,720,,,,,,675,
We Who Once Were Dead,,,,,207,,,,
We Worship You O God of Might,Rev 7:9-14,,,199,,,,,
Weary of All Trumpeting,Col 2:8-10,,,,,428,527,,883
Welcome Happy Morning,Acts 10:40,,202,135,153,,163,,
Welcome to Earth O Noble Guest,Luke 2:1-20,,,38,,,,,
Were You There When They Crucified My Lord,Matt 28:6,456,,505,92,,119,,
What a Friend We Have in Jesus,Matt 7:7-8,770,457,516,439,385,411,,
What Child is This,Luke 2:1-20,370,,61,40,145,67,,
What God Ordains Is Always Good,Rom 8:28,760,521,422,446,519,429,,
What Hope! An Eden Prophesied,"Is 11:1, 6-10",342,,,,,,,
What Is the World to Me,1 John 2:15-17,730,430,418,,446,477,,
What Is This Bread,1 Cor 11:23-29,629,,,,,,,850
What Our Father Does is Well,"Hab 3:17, 18",,571,,,,,,
What Wondrous Love is This,1John 4:7-10,543,,,385,306,120,,860
Whatever God Ordains is Right,Deut 32:4,760,521,422,446,519,429,,
When Afflictions Sore Oppress You,,,,,,256,,,
When Aimless Violence Takes Those We Love,2 Cor 1:3-5,764,,,,,,,890
When All the World was Cursed,John 1:6-9,346,272,187,,107,20,,
When All Thy Mercies O My God,Ps 33:1,,31,196,264,,259,,
When All Your Mercies O My God,Ps 33:1,,31,196,264,,259,,
When Christmas Morn is Dawning,,,,,59,146,48,,
When Christ's Appearing Was Made Known,Matt 2:9,,,81,85,,,,
When Earth With All Its Joys Defeats Me,,,,,,479,,,
When God the Spirit Came,,,,,,,187,,
When I Behold Jesus Christ,Rom 5:8,542,,,,,,,859
When I Suffer Pains and Losses,Ps 73:23,756,523,423,,377,428,,
When I Survey the Wondrous Cross,Gal 6:14,425-426,175,114,482,,125,,
When I Survey the Wondrous Cross,Gal 6:14,425-426,175,115,,308,,,
When in Our Music God is Glorified,1 Chron 16:4-36,796,,449,555,380,248,802,
When in the Hour of Deepest Need,Ps 102:1-2,615,522,428,303,257,413,,
When in the Hour of Utmost Need,2 Chron 20:12,615,522,428,303,257,413,,
When Israel Through the Desert Passed,,,,,,231,,,
When Israel Was in Egypt's Land,Ex 5:1-2,,,,,,,,825
When Morning Gilds the Skies,Luke 19:37-38,807,,460,545,85,251,,
When Morning Gilds the Skies,Phil 2:9-11,807,,,546,,,,
When My Last Hour Is Close at Hand,John 15:5,,594,,,481,,,
When o'er My Sins I Sorrow,Heb 10:14,,152,367,,276,109,,
When Our Heads are Bowed With Woe,,,,,,274,,,
When Over Sin I Sorrow,Heb 10:14,,152,367,,276,109,,
"When Peace, Like a River",Is 26:3,763,,,346,,,,
When Seed Falls on Good Soil,Matt 13:8,,,338,236,,,,
When Sinners See Their Lost Condition,John 20:19-26,,65,,,111,32,,
When Streaming from the Eastern Skies,Ps 55:1,,543,,,,,,
When to Our World the Savior Came,Acts 10:38,551,,,,,,,
When You Woke That Thursday Morning,"John 1:29, 36",445,,,,,,,
Where Charity and Love Prevail,John 13:1-17,845,,,126,,,,878
Where Cross the Crowded Years of Life,,,,,429,,,,
Where Restless Crowds are Thronging,,,,,430,,,,
Where Shepherds Lately Knelt,Luke 2:1-16,369,,,,,,,813
Where Shepherds Lately Knelt,,,,,,,54,,
Where Wilt Thou Go Since Night Draws Near,Luke 24:29,,197,,,578,,,
While Shepherds Watched Their Flocks by Night,Luke 2:11,,109,70,,147,,,
While with Ceaseless Course the Sun,Ps 90:12,,113,,,,,,
While Yet the Morn is Breaking,Ps 66:3,,544,,,86,585,,
Who are These that Earnest Knock,Luke 2:4-16,,,63,,,,,
Who are You Who Walk in Sorrow,Luke 24:13-35,476,,,,,,,
Who Is This Host Arrayed in White,,676,,,314,,,,
Who Is This that Comes from Edom,2 Tim 1:10,,209,,,,,,
Who Knows when Death May Overtake Me,Ps 90:12,598,598,,,483,210,,
Who Trusts in God a Strong Abode,Ps 73:25-26,714,437,414,450,261,447,,
Whoever Would Be Saved,,,,,,39,,,
Why do We Mourn Departing Friends,Mark 5:39,,593,,,,,,
Why Should Cross and Trial Grieve Me,1 Peter 1:6-9,756,523,423,,377,428,,
Wide Open Are Thy Hands,,,,,489,265,,,
